ProductName,ProductCode,RegularPrice,HappyPrice,DiscountPercent,PageLink,ImageLink
TCL 55P635,Шифра: 76123,"37,999 Ден.","20,999 Ден.",-45%,https://setec.mk/tcl-55p63576123,https://setec.mk/image/cache/catalog/Product/76123_0-220x220.jpg
SAMSUNG UE65CU7092UXXH,Шифра: 57453,"53,999 Ден.","34,999 Ден.",-35%,https://setec.mk/samsung-ue65cu7092uxxh57453,https://setec.mk/image/cache/catalog/Product/57453_0-220x220.jpg
SAMSUNG UE55CU7092UXXH,Шифра: 57668,"39,999 Ден.","25,999 Ден.",-35%,https://setec.mk/samsung-ue55cu7092uxxh57668,https://setec.mk/image/cache/catalog/Product/57668_0-220x220.jpg
TCL 55C745,Шифра: 77351,"54,999 Ден.","34,999 Ден.",-36%,https://setec.mk/tcl-55c74577351,https://setec.mk/image/cache/catalog/Product/77351_0-220x220.jpg
TCL 65C745,Шифра: 77352,"74,999 Ден.","42,999 Ден.",-43%,https://setec.mk/tcl-65c74577352,https://setec.mk/image/cache/catalog/Product/77352_0-220x220.jpg
TCL 55C645,Шифра: 76638,"45,999 Ден.","26,999 Ден.",-41%,https://setec.mk/tcl-55c64576638,https://setec.mk/image/cache/catalog/Product/76638_0-220x220.jpg
TCL 43P635,Шифра: 75980,"27,999 Ден.","15,999 Ден.",-43%,https://setec.mk/tcl-43p63575980,https://setec.mk/image/cache/catalog/Product/75980_0-220x220.jpg
Hisense 65A6K,Шифра: 77276,"39,999 Ден.","29,999 Ден.",-25%,https://setec.mk/hisense-65a6k77276,https://setec.mk/image/cache/catalog/Product/77276_0-220x220.jpg
Hisense 50A6K,Шифра: 77185,"25,999 Ден.","19,999 Ден.",-23%,https://setec.mk/hisense-50a6k77185,https://setec.mk/image/cache/catalog/Product/77185_0-220x220.jpg
PHILIPS 55PUS7409,Шифра: 58712,"36,999 Ден.","27,999 Ден.",-24%,https://setec.mk/index.php?route=product/product&product_id=58712,https://setec.mk/image/cache/catalog/Product/58712_0-220x220.jpg
PHILIPS 40PFS6009,Шифра: 78133,"17,999 Ден.","13,499 Ден.",-25%,https://setec.mk/index.php?route=product/product&product_id=78133,https://setec.mk/image/cache/catalog/Product/78133_0-220x220.jpg
TELEFUNKEN 65QUAK9140BX,Шифра: 77924,"47,999 Ден.","27,999 Ден.",-42%,https://setec.mk/telefunken-65quak9140bx77924,https://setec.mk/image/cache/catalog/Product/77924_0-220x220.jpg
TELEFUNKEN 43FEA5060F,Шифра: 78226,"19,999 Ден.","12,999 Ден.",-35%,https://setec.mk/index.php?route=product/product&product_id=78226,https://setec.mk/image/cache/catalog/Product/78226_0-220x220.jpg
ST-65DX7800,Шифра: 59334,"37,999 Ден.","23,999 Ден.",-37%,https://setec.mk/index.php?route=product/product&product_id=59334,https://setec.mk/image/cache/catalog/Product/59334_0-220x220.jpg
ST-43DH7800,Шифра: 59466,"11,999 Ден.","9,499 Ден.",-21%,https://setec.mk/index.php?route=product/product&product_id=59466,https://setec.mk/image/cache/catalog/Product/59466_0-220x220.jpg
ST-32CH4300,Шифра: 56481,"9,999 Ден.","4,499 Ден.",-55%,https://setec.mk/st-32ch430056481,https://setec.mk/image/cache/catalog/Product/56481_0-220x220.jpg
ST-32CH5800,Шифра: 57432,"10,999 Ден.","5,499 Ден.",-50%,https://setec.mk/st-32ch580057432,https://setec.mk/image/cache/catalog/Product/57432_0-220x220.jpg
Xiaomi Mi Box S (2nd Gen),Шифра: 56140,"4,699 Ден.","3,499 Ден.",-26%,https://setec.mk/xiaomi-mi-box-s-2nd-gen-56140,https://setec.mk/image/cache/catalog/Product/56140_0-220x220.jpg
Samsung SM-A256 Galaxy A25 5G Black 6 / 128,Шифра: 57274,"19,999 Ден.","11,499 Ден.",-43%,https://setec.mk/samsung-sm-a256-galaxy-a25-5g-black-6-12857274,https://setec.mk/image/cache/catalog/Product/57274_0-220x220.jpg
Apple iPhone 16 128GB Black,Шифра: 59511,,,,https://setec.mk/index.php?route=product/product&product_id=59511,https://setec.mk/image/cache/catalog/Product/59511_0-220x220.jpg
Apple iPhone 15 128GB Black,Шифра: 56768,"69,990 Ден.","52,990 Ден.",-24%,https://setec.mk/apple-iphone-15-128gb-black56768,https://setec.mk/image/cache/catalog/Product/56768_0-220x220.jpg
Apple iPhone 13 128GB Starlight,Шифра: 51839,"55,799 Ден.","37,990 Ден.",-32%,https://setec.mk/apple-iphone-13-128gb-starlight51839,https://setec.mk/image/cache/catalog/Product/51839_0-220x220.jpg
Samsung Galaxy S24 Ultra 12GB / 256GB Titanium Black;  Nano-SIM and eSIM or Dual SIM (2 Nano-SIMs and,Шифра: 77670,"86,999 Ден.","79,999 Ден.",-8%,https://setec.mk/samsung-galaxy-s24-ultra-12gb-256gb-titanium-black;-nano-sim-and-esim-or-dual-sim-2-nano-sims-and-77670,https://setec.mk/image/cache/catalog/Product/77670_0-220x220.jpg
Samsung Galaxy S24  8GB / 128GB Marble Gray;  Nano-SIM and eSIM or Dual SIM (2 Nano-SIMs and eSIM,Шифра: 77654,"54,999 Ден.","47,999 Ден.",-13%,https://setec.mk/samsung-galaxy-s24-8gb-128gb-marble-gray;-nano-sim-and-esim-or-dual-sim-2-nano-sims-and-esim77654,https://setec.mk/image/cache/catalog/Product/77654_0-220x220.jpg
Samsung SM-A556 Galaxy A55 5G 8 / 128GB LIGHT BLUE,Шифра: 57685,"32,999 Ден.","22,999 Ден.",-30%,https://setec.mk/samsung-sm-a556-galaxy-a55-5g-8-128gb-light-blue57685,https://setec.mk/image/cache/catalog/Product/57685_0-220x220.jpg
Samsung SM-A356 Galaxy A35 5G 6 / 128GB LIGHT VIOLET,Шифра: 57678,"24,999 Ден.","16,999 Ден.",-32%,https://setec.mk/samsung-sm-a356-galaxy-a35-5g-6-128gb-light-violet57678,https://setec.mk/image/cache/catalog/Product/57678_0-220x220.jpg
Samsung SM-A155 Galaxy A15 4 / 128 Blue,Шифра: 60891,"12,999 Ден.","8,499 Ден.",-35%,https://setec.mk/samsung-sm-a155-galaxy-a15-4-128-blue60891,https://setec.mk/image/cache/catalog/Product/60891_0-220x220.jpg
